id,langkah,operasi,series,claimed_audit,verifier_expected,independen_expected,verifier_grounded,kelas,sumber,cocok_menurut_auditor
train_segmen_hard_025,1,"bandingkan_segmen(nilai[0:13], nilai[13:26])","[374.22, 397.64, 386.39, 396.95, 379.76, 371.26, …] (n=26)",-9.71,-9.70999999999998,-9.70999999999998,True,grounded,benchmark,
train_tren_hard_030,1,slope(nilai[0:26]),"[68.03, 66.99, 63.48, 66.56, 65.2, 65.93, …] (n=26)",-0.041,-0.04105641025641129,-0.04105641025641016,True,grounded,benchmark,
train_tren_medium_045,1,slope(nilai[0:21]),"[977.31, 991.7, 972.31, 988.05, 975.08, 1009.93, …] (n=21)",-5.665,-5.664831168831152,-5.664831168831169,True,grounded,benchmark,
train_segmen_hard_041,1,"bandingkan_segmen(nilai[0:14], nilai[14:28])","[27.88, 28.76, 28.64, 29.57, 28.37, 28.68, …] (n=28)",0.343,0.3428571428571452,0.34285714285714164,True,grounded,benchmark,
train_segmen_hard_004,1,"bandingkan_segmen(nilai[0:13], nilai[13:26])","[18395, 18062, 18679.3, 18479.6, 18373.5, 18476.6, …] (n=26)",277.209,277.2092307692328,277.2092307692328,True,grounded,benchmark,
train_tren_hard_008,1,slope(nilai[0:21]),"[60.12, 58.31, 61.08, 60.94, 60.7, 60.9, …] (n=21)",-0.013,-0.013350649350649805,-0.013350649350649316,True,grounded,benchmark,
train_anomali_hard_009,1,"z_score(nilai[21], nilai[1:8])","[998.68, 1000.44, 948.2, 942.14, 1018.71, 996.89, …] (n=27)",2.696,2.6961353895808746,2.6961353895808746,True,grounded,benchmark,
train_segmen_hard_022,1,"bandingkan_segmen(nilai[0:11], nilai[11:23])","[69.49, 69.16, 69.53, 68.86, 66.96, 69.45, …] (n=23)",-2.074,-2.074393939393943,-2.074393939393943,True,grounded,benchmark,
train_penjelasan_medium_042,1,slope(nilai[0:33]),"[67.07, 67.84, 68.1, 68.19, 68.63, 68.9, …] (n=33)",0.337,0.3371891711229945,0.3371891711229947,True,grounded,benchmark,
train_anomali_easy_009,1,"z_score(nilai[19], nilai[1:11])","[625.58, 594.02, 562.32, 594.37, 600.54, 639.9, …] (n=27)",7.84,7.83965588380392,7.839655883803915,True,grounded,benchmark,
train_anomali_medium_012,1,"z_score(nilai[15], nilai[1:11])","[73.18, 72.83, 67.52, 74.89, 73.06, 69.54, …] (n=40)",11.517151758119677,4.344767838746451,4.344767838746451,False,ungrounded,perturbasi,
train_segmen_hard_006,1,"bandingkan_segmen(nilai[0:11], nilai[11:23])","[70.18, 71.25, 70.32, 71.7, 70.88, 71.4, …] (n=23)",5.033712121212133,-0.4662878787878668,-0.466287878787881,False,ungrounded,perturbasi,
train_anomali_medium_039,1,"z_score(nilai[23], nilai[1:11])","[105.59, 111.36, 116.55, 114.46, 109.97, 109.15, …] (n=32)",3.195198214397017,-3.6096035712059655,-3.6096035712059655,False,ungrounded,perturbasi,
train_penjelasan_easy_008,2,persen_naik(nilai[0]->nilai[25]),"[66.18, 67.33, 69.32, 70.95, 72.84, 75, …] (n=26)",101.19220308250226,64.12813538833484,64.12813538833484,False,ungrounded,perturbasi,
train_tren_medium_009,1,slope(nilai[0:37]),"[716.24, 693.24, 702.82, 677.19, 667.46, 699.73, …] (n=37)",3.2021953532479914,-3.5956092935040167,-3.595609293504031,False,ungrounded,perturbasi,
train_penjelasan_medium_012,1,slope(nilai[0:18]),"[74, 74.96, 75.24, 75.94, 76.67, 77.53, …] (n=18)",6.164262125902993,0.6642621259029927,0.664262125902993,False,ungrounded,perturbasi,
train_penjelasan_easy_003,1,slope(nilai[0:34]),"[99.43, 100.54, 101.63, 103.62, 104.38, 104.7, …] (n=34)",6.684294881588999,1.1228632543926658,1.1228632543926662,False,ungrounded,perturbasi,
train_anomali_medium_041,1,"z_score(nilai[27], nilai[1:8])","[34.71, 33.05, 32.7, 30.52, 34.07, 30.82, …] (n=32)",12.000800641445,4.66720042763,4.66720042763,False,ungrounded,perturbasi,
train_segmen_medium_039,1,"bandingkan_segmen(nilai[0:18], nilai[18:36])","[128.99, 130.5, 133.98, 131.83, 130.09, 135.45, …] (n=36)",-3.434444444444452,-16.868888888888904,-16.868888888888904,False,ungrounded,perturbasi,
train_penjelasan_medium_041,1,slope(nilai[0:36]),"[28.85, 28.76, 28.79, 28.39, 28.37, 28.29, …] (n=36)",5.365643500643501,-0.13435649935649865,-0.13435649935649938,False,ungrounded,perturbasi,
